t = 0 ; Y = ((12,0,0),(0,0,0))
t = 0.155 ; Y = ((11.7763,0,0),(-2.82863,0,0))
t = 0.156 ; Y = ((11.7734,0,0),(-2.84538,0,0))
t = 0.157 ; Y = ((11.7706,0,0),(-2.8621,0,0))
t = 0.158 ; Y = ((11.7677,0,0),(-2.87879,0,0))
t = 0.159 ; Y = ((11.7648,0,0),(-2.89546,0,0))
t = 0.16 ; Y = ((11.7619,0,0),(-2.91209,0,0))
t = 0.161 ; Y = ((11.759,0,0),(-2.92869,0,0))
t = 0.162 ; Y = ((11.7561,0,0),(-2.94527,0,0))
t = 0.163 ; Y = ((11.7531,0,0),(-2.96182,0,0))
t = 0.164 ; Y = ((11.7501,0,0),(-2.97833,0,0))
t = 0.165 ; Y = ((11.7472,0,0),(-2.99482,0,0))
t = 0.166 ; Y = ((11.7441,0,0),(-3.01127,0,0))
t = 0.167 ; Y = ((11.7411,0,0),(-3.0277,0,0))
t = 0.168 ; Y = ((11.7381,0,0),(-3.0441,0,0))
t = 0.169 ; Y = ((11.735,0,0),(-3.06046,0,0))
t = 0.17 ; Y = ((11.732,0,0),(-3.0768,0,0))
t = 0.171 ; Y = ((11.7289,0,0),(-3.0931,0,0))
t = 0.172 ; Y = ((11.7258,0,0),(-3.10938,0,0))
t = 0.173 ; Y = ((11.7227,0,0),(-3.12562,0,0))
t = 0.174 ; Y = ((11.7195,0,0),(-3.14183,0,0))
t = 0.175 ; Y = ((11.7164,0,0),(-3.15801,0,0))
t = 0.176 ; Y = ((11.7132,0,0),(-3.17416,0,0))
t = 0.177 ; Y = ((11.71,0,0),(-3.19027,0,0))
t = 0.178 ; Y = ((11.7068,0,0),(-3.20636,0,0))
t = 0.179 ; Y = ((11.7036,0,0),(-3.22241,0,0))
t = 0.18 ; Y = ((11.7004,0,0),(-3.23843,0,0))
t = 0.181 ; Y = ((11.6971,0,0),(-3.25442,0,0))
t = 0.182 ; Y = ((11.6939,0,0),(-3.27037,0,0))
t = 0.183 ; Y = ((11.6906,0,0),(-3.28629,0,0))
t = 0.184 ; Y = ((11.6873,0,0),(-3.30218,0,0))
t = 0.185 ; Y = ((11.684,0,0),(-3.31804,0,0))
t = 0.186 ; Y = ((11.6807,0,0),(-3.33386,0,0))
t = 0.187 ; Y = ((11.6773,0,0),(-3.34965,0,0))
t = 0.188 ; Y = ((11.674,0,0),(-3.36541,0,0))
t = 0.189 ; Y = ((11.6706,0,0),(-3.38113,0,0))
