t = 0 ; Y = ((1,0,0),(0,1,0))
t = 0.168 ; Y = ((0.985921,0.167211,0),(-0.167211,0.985921,0))
t = 0.169 ; Y = ((0.985753,0.168197,0),(-0.168197,0.985753,0))
t = 0.17 ; Y = ((0.985585,0.169182,0),(-0.169182,0.985585,0))
t = 0.171 ; Y = ((0.985415,0.170168,0),(-0.170168,0.985415,0))
t = 0.172 ; Y = ((0.985244,0.171153,0),(-0.171153,0.985244,0))
t = 0.173 ; Y = ((0.985073,0.172138,0),(-0.172138,0.985073,0))
t = 0.174 ; Y = ((0.9849,0.173123,0),(-0.173123,0.9849,0))
t = 0.175 ; Y = ((0.984727,0.174108,0),(-0.174108,0.984727,0))
t = 0.176 ; Y = ((0.984552,0.175093,0),(-0.175093,0.984552,0))
t = 0.177 ; Y = ((0.984376,0.176077,0),(-0.176077,0.984376,0))
t = 0.178 ; Y = ((0.9842,0.177062,0),(-0.177062,0.9842,0))
t = 0.179 ; Y = ((0.984022,0.178046,0),(-0.178046,0.984022,0))
t = 0.18 ; Y = ((0.983844,0.17903,0),(-0.17903,0.983844,0))
t = 0.181 ; Y = ((0.983664,0.180013,0),(-0.180013,0.983664,0))
t = 0.182 ; Y = ((0.983484,0.180997,0),(-0.180997,0.983484,0))
t = 0.183 ; Y = ((0.983302,0.18198,0),(-0.18198,0.983302,0))
t = 0.184 ; Y = ((0.98312,0.182964,0),(-0.182964,0.98312,0))
t = 0.185 ; Y = ((0.982936,0.183947,0),(-0.183947,0.982936,0))
t = 0.186 ; Y = ((0.982752,0.184929,0),(-0.184929,0.982752,0))
t = 0.187 ; Y = ((0.982566,0.185912,0),(-0.185912,0.982566,0))
t = 0.188 ; Y = ((0.98238,0.186895,0),(-0.186895,0.98238,0))
t = 0.189 ; Y = ((0.982193,0.187877,0),(-0.187877,0.982193,0))
t = 0.19 ; Y = ((0.982004,0.188859,0),(-0.188859,0.982004,0))
t = 0.191 ; Y = ((0.981815,0.189841,0),(-0.189841,0.981815,0))
t = 0.192 ; Y = ((0.981625,0.190823,0),(-0.190823,0.981625,0))
t = 0.193 ; Y = ((0.981433,0.191804,0),(-0.191804,0.981433,0))
t = 0.194 ; Y = ((0.981241,0.192785,0),(-0.192785,0.981241,0))
t = 0.195 ; Y = ((0.981048,0.193767,0),(-0.193767,0.981048,0))
t = 0.196 ; Y = ((0.980853,0.194747,0),(-0.194747,0.980853,0))
t = 0.197 ; Y = ((0.980658,0.195728,0),(-0.195728,0.980658,0))
t = 0.198 ; Y = ((0.980462,0.196709,0),(-0.196709,0.980462,0))
t = 0.199 ; Y = ((0.980265,0.197689,0),(-0.197689,0.980265,0))
t = 0.2 ; Y = ((0.980067,0.198669,0),(-0.198669,0.980067,0))
t = 0.201 ; Y = ((0.979867,0.199649,0),(-0.199649,0.979867,0))
t = 0.202 ; Y = ((0.979667,0.200629,0),(-0.200629,0.979667,0))
t = 0.203 ; Y = ((0.979466,0.201609,0),(-0.201609,0.979466,0))
t = 0.204 ; Y = ((0.979264,0.202588,0),(-0.202588,0.979264,0))
t = 0.205 ; Y = ((0.979061,0.203567,0),(-0.203567,0.979061,0))
t = 0.206 ; Y = ((0.978857,0.204546,0),(-0.204546,0.978857,0))
t = 0.207 ; Y = ((0.978652,0.205525,0),(-0.205525,0.978652,0))
t = 0.208 ; Y = ((0.978446,0.206503,0),(-0.206503,0.978446,0))
t = 0.209 ; Y = ((0.978239,0.207482,0),(-0.207482,0.978239,0))
t = 0.21 ; Y = ((0.978031,0.20846,0),(-0.20846,0.978031,0))
t = 0.211 ; Y = ((0.977822,0.209438,0),(-0.209438,0.977822,0))
t = 0.212 ; Y = ((0.977612,0.210416,0),(-0.210416,0.977612,0))
t = 0.213 ; Y = ((0.977401,0.211393,0),(-0.211393,0.977401,0))
t = 0.214 ; Y = ((0.977189,0.21237,0),(-0.21237,0.977189,0))
t = 0.215 ; Y = ((0.976976,0.213347,0),(-0.213347,0.976976,0))
t = 0.216 ; Y = ((0.976763,0.214324,0),(-0.214324,0.976763,0))
t = 0.217 ; Y = ((0.976548,0.215301,0),(-0.215301,0.976548,0))
t = 0.218 ; Y = ((0.976332,0.216277,0),(-0.216277,0.976332,0))
t = 0.219 ; Y = ((0.976115,0.217254,0),(-0.217254,0.976115,0))
t = 0.22 ; Y = ((0.975897,0.21823,0),(-0.21823,0.975897,0))
t = 0.221 ; Y = ((0.975679,0.219205,0),(-0.219205,0.975679,0))
t = 0.222 ; Y = ((0.975459,0.220181,0),(-0.220181,0.975459,0))
t = 0.223 ; Y = ((0.975238,0.221156,0),(-0.221156,0.975238,0))
t = 0.224 ; Y = ((0.975017,0.222131,0),(-0.222131,0.975017,0))
t = 0.225 ; Y = ((0.974794,0.223106,0),(-0.223106,0.974794,0))
t = 0.226 ; Y = ((0.974571,0.224081,0),(-0.224081,0.974571,0))
t = 0.227 ; Y = ((0.974346,0.225056,0),(-0.225056,0.974346,0))
t = 0.228 ; Y = ((0.97412,0.22603,0),(-0.22603,0.97412,0))
t = 0.229 ; Y = ((0.973894,0.227004,0),(-0.227004,0.973894,0))
t = 0.23 ; Y = ((0.973666,0.227978,0),(-0.227978,0.973666,0))
t = 0.231 ; Y = ((0.973438,0.228951,0),(-0.228951,0.973438,0))
t = 0.232 ; Y = ((0.973208,0.229924,0),(-0.229924,0.973208,0))
t = 0.233 ; Y = ((0.972978,0.230897,0),(-0.230897,0.972978,0))
t = 0.234 ; Y = ((0.972747,0.23187,0),(-0.23187,0.972747,0))
t = 0.235 ; Y = ((0.972514,0.232843,0),(-0.232843,0.972514,0))
t = 0.236 ; Y = ((0.972281,0.233815,0),(-0.233815,0.972281,0))
t = 0.237 ; Y = ((0.972047,0.234788,0),(-0.234788,0.972047,0))
t = 0.238 ; Y = ((0.971811,0.235759,0),(-0.235759,0.971811,0))
t = 0.239 ; Y = ((0.971575,0.236731,0),(-0.236731,0.971575,0))
t = 0.24 ; Y = ((0.971338,0.237703,0),(-0.237703,0.971338,0))
t = 0.241 ; Y = ((0.9711,0.238674,0),(-0.238674,0.9711,0))
t = 0.242 ; Y = ((0.970861,0.239645,0),(-0.239645,0.970861,0))
t = 0.243 ; Y = ((0.97062,0.240616,0),(-0.240616,0.97062,0))
t = 0.244 ; Y = ((0.970379,0.241586,0),(-0.241586,0.970379,0))
t = 0.245 ; Y = ((0.970137,0.242556,0),(-0.242556,0.970137,0))
t = 0.246 ; Y = ((0.969894,0.243526,0),(-0.243526,0.969894,0))
t = 0.247 ; Y = ((0.96965,0.244496,0),(-0.244496,0.96965,0))
t = 0.248 ; Y = ((0.969405,0.245466,0),(-0.245466,0.969405,0))
t = 0.249 ; Y = ((0.969159,0.246435,0),(-0.246435,0.969159,0))
t = 0.25 ; Y = ((0.968912,0.247404,0),(-0.247404,0.968912,0))
t = 0.251 ; Y = ((0.968665,0.248373,0),(-0.248373,0.968665,0))
t = 0.252 ; Y = ((0.968416,0.249341,0),(-0.249341,0.968416,0))
t = 0.253 ; Y = ((0.968166,0.25031,0),(-0.25031,0.968166,0))
t = 0.254 ; Y = ((0.967915,0.251278,0),(-0.251278,0.967915,0))
t = 0.255 ; Y = ((0.967663,0.252245,0),(-0.252245,0.967663,0))
t = 0.256 ; Y = ((0.967411,0.253213,0),(-0.253213,0.967411,0))
t = 0.257 ; Y = ((0.967157,0.25418,0),(-0.25418,0.967157,0))
t = 0.258 ; Y = ((0.966902,0.255147,0),(-0.255147,0.966902,0))
t = 0.259 ; Y = ((0.966647,0.256114,0),(-0.256114,0.966647,0))
t = 0.26 ; Y = ((0.96639,0.257081,0),(-0.257081,0.96639,0))
t = 0.261 ; Y = ((0.966132,0.258047,0),(-0.258047,0.966132,0))
t = 0.262 ; Y = ((0.965874,0.259013,0),(-0.259013,0.965874,0))
t = 0.263 ; Y = ((0.965614,0.259979,0),(-0.259979,0.965614,0))
t = 0.264 ; Y = ((0.965354,0.260944,0),(-0.260944,0.965354,0))
t = 0.265 ; Y = ((0.965093,0.261909,0),(-0.261909,0.965093,0))
t = 0.266 ; Y = ((0.96483,0.262874,0),(-0.262874,0.96483,0))
t = 0.267 ; Y = ((0.964567,0.263839,0),(-0.263839,0.964567,0))
t = 0.268 ; Y = ((0.964302,0.264803,0),(-0.264803,0.964302,0))
t = 0.269 ; Y = ((0.964037,0.265768,0),(-0.265768,0.964037,0))
t = 0.27 ; Y = ((0.963771,0.266731,0),(-0.266731,0.963771,0))
t = 0.271 ; Y = ((0.963504,0.267695,0),(-0.267695,0.963504,0))
t = 0.272 ; Y = ((0.963236,0.268658,0),(-0.268658,0.963236,0))
t = 0.273 ; Y = ((0.962966,0.269622,0),(-0.269622,0.962966,0))
t = 0.274 ; Y = ((0.962696,0.270584,0),(-0.270584,0.962696,0))
t = 0.275 ; Y = ((0.962425,0.271547,0),(-0.271547,0.962425,0))
t = 0.276 ; Y = ((0.962153,0.272509,0),(-0.272509,0.962153,0))
t = 0.277 ; Y = ((0.96188,0.273471,0),(-0.273471,0.96188,0))
t = 0.278 ; Y = ((0.961606,0.274433,0),(-0.274433,0.961606,0))
t = 0.279 ; Y = ((0.961331,0.275394,0),(-0.275394,0.961331,0))
t = 0.28 ; Y = ((0.961055,0.276356,0),(-0.276356,0.961055,0))
t = 0.281 ; Y = ((0.960779,0.277317,0),(-0.277317,0.960779,0))
t = 0.282 ; Y = ((0.960501,0.278277,0),(-0.278277,0.960501,0))
t = 0.283 ; Y = ((0.960222,0.279238,0),(-0.279238,0.960222,0))
t = 0.284 ; Y = ((0.959942,0.280198,0),(-0.280198,0.959942,0))
t = 0.285 ; Y = ((0.959662,0.281157,0),(-0.281157,0.959662,0))
t = 0.286 ; Y = ((0.95938,0.282117,0),(-0.282117,0.95938,0))
t = 0.287 ; Y = ((0.959097,0.283076,0),(-0.283076,0.959097,0))
t = 0.288 ; Y = ((0.958814,0.284035,0),(-0.284035,0.958814,0))
t = 0.289 ; Y = ((0.958529,0.284994,0),(-0.284994,0.958529,0))
t = 0.29 ; Y = ((0.958244,0.285952,0),(-0.285952,0.958244,0))
t = 0.291 ; Y = ((0.957957,0.28691,0),(-0.28691,0.957957,0))
t = 0.292 ; Y = ((0.95767,0.287868,0),(-0.287868,0.95767,0))
t = 0.293 ; Y = ((0.957382,0.288826,0),(-0.288826,0.957382,0))
t = 0.294 ; Y = ((0.957092,0.289783,0),(-0.289783,0.957092,0))
t = 0.295 ; Y = ((0.956802,0.29074,0),(-0.29074,0.956802,0))
t = 0.296 ; Y = ((0.956511,0.291697,0),(-0.291697,0.956511,0))
t = 0.297 ; Y = ((0.956219,0.292653,0),(-0.292653,0.956219,0))
t = 0.298 ; Y = ((0.955926,0.293609,0),(-0.293609,0.955926,0))
t = 0.299 ; Y = ((0.955632,0.294565,0),(-0.294565,0.955632,0))
t = 0.3 ; Y = ((0.955336,0.29552,0),(-0.29552,0.955336,0))
t = 0.301 ; Y = ((0.95504,0.296475,0),(-0.296475,0.95504,0))
t = 0.302 ; Y = ((0.954744,0.29743,0),(-0.29743,0.954744,0))
t = 0.303 ; Y = ((0.954446,0.298385,0),(-0.298385,0.954446,0))
t = 0.304 ; Y = ((0.954147,0.299339,0),(-0.299339,0.954147,0))
t = 0.305 ; Y = ((0.953847,0.300293,0),(-0.300293,0.953847,0))
t = 0.306 ; Y = ((0.953546,0.301247,0),(-0.301247,0.953546,0))
t = 0.307 ; Y = ((0.953244,0.3022,0),(-0.3022,0.953244,0))
t = 0.308 ; Y = ((0.952942,0.303153,0),(-0.303153,0.952942,0))
